Unnamed: 0,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_register,pr_register_corrected
193,2.5895,,酒泉市,2003,106.6855,302.0,12764.0,22.0,,91.84,2,101111.0,100111.0,-1.0873543024063108,0.19762093731335262
194,1.8093,,甘南藏族自治州,2008,,,2834.0,,,,2,100.0,100.0,-1.7338697910308838,-0.6165891550268445
195,1.612,,甘南藏族自治州,2007,,,2869.0,,,,2,100.0,100.0,-1.730654001235962,-0.4761539469446454
196,,,海北藏族自治州,2011,,,2695.0,,,,2,100.0,100.0,-1.7466410398483276,-1.0982391971349716
197,,,神农架林区,2004,,,257.0,,,,2,100.0,100.0,-1.9706426858901975,-1.2081695321728199
198,6.6723,,甘孜藏族自治州,2013,,,11965.0,,,,2,100.0,100.0,-0.8949204683303833,2.775397194453648
199,5.8,,锡林郭勒盟,2005,,,16003.0,,,,2,100.0,100.0,-0.5239121913909912,0.5253573497136435
200,,,海北藏族自治州,2010,,,2764.0,,,,2,100.0,100.0,-1.7403013706207275,0.34084921181201944
201,2.38,,酒泉市,2004,122.2504,303.0,13608.0,22.0,,92.53,2,101111.0,100111.0,-1.040203332901001,0.07470496722630093
202,,,克孜勒苏柯尔克孜自治州,2014,,,5775.0,,,,2,100.0,100.0,-1.4636529684066772,-1.1558422662734982
203,,,神农架林区,2020,,,268.0,,,,2,100.0,100.0,-1.969631910324097,-8.12479853181278
204,,,海西蒙古族藏族自治州,2016,,,25011.0,,,,2,100.0,100.0,0.3037359714508057,0.5904753834009171
205,6.97,,阿拉善盟,2012,,,20028.0,,,,2,100.0,100.0,-0.15409815311431885,2.7173165945212046
206,0.2666,,神农架林区,2006,,,274.0,,,,2,100.0,100.0,-1.9690806865692136,-1.18111206833054
207,5.6424,,阿拉善盟,2013,,,20317.0,,,,2,100.0,100.0,-0.12754511833190918,2.450807677110036
208,,,海南藏族自治州,2010,,,3742.0,,,,2,100.0,100.0,-1.6504435539245603,0.43070702850818665
209,,,黄南藏族自治州,2008,,,1560.0,,,,2,100.0,100.0,-1.850924015045166,-0.4395057259500026
210,1.6596,,迪庆藏族自治州,2004,,,2008.0,,,,2,100.0,100.0,-1.8097621202468872,-0.5228423883020876
211,2.2543,,甘南藏族自治州,2009,,,3192.0,,,,2,100.0,100.0,-1.700977087020874,0.04145115716116776
212,,,海西蒙古族藏族自治州,2014,,,26327.0,,,,2,100.0,100.0,0.4246492385864258,0.9391448515653611
213,,,神农架林区,2017,,,284.0,,,,2,100.0,100.0,-1.968161940574646,0.8489580499424649
214,,,海西蒙古族藏族自治州,2012,,,26383.0,,,,2,100.0,100.0,0.4297943115234375,1.1851535421609878
215,,,巴音郭楞蒙古自治州,2010,,,41643.0,,,,2,100.0,100.0,1.831871747970581,2.81534262676239
216,,,海西蒙古族藏族自治州,2015,,,26664.0,,,,2,100.0,100.0,0.4556124210357666,0.6492112183570862
217,2.7139,,酒泉市,2005,146.0284,381.0,15012.0,29.0,,90.26,2,101111.0,100111.0,-0.96262389421463,0.18057114711829614
218,1.5124,,迪庆藏族自治州,2003,,,2076.0,,,,2,100.0,100.0,-1.8035142421722408,-0.6573039525002238
219,8.3648,,锡林郭勒盟,2006,,,17924.0,,,,2,100.0,100.0,-0.347412109375,-0.27602899124224983
220,,,克孜勒苏柯尔克孜自治州,2015,,,6296.0,,,,2,100.0,100.0,-1.4157838821411133,-1.308697960853577
221,3.5388,,阿克苏地区,2003,,,11567.0,,,,2,100.0,100.0,-0.9314883947372437,0.3619436635494233
222,,,海北藏族自治州,2012,,,3138.0,,,,2,100.0,100.0,-1.7059385776519775,-0.9505793470144274
223,,,海南藏族自治州,2011,,,3994.0,,46.0,,2,10100.0,10100.0,6.758575439453125,7.406977282166481
224,,,和田地区,2010,,,22782.0,,,,2,100.0,100.0,0.0989372730255127,1.0824081518173219
