,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_stock
5297,,,泉州市,2007,2280.0,965.0,116156.0,85.0,,674.29,2,1111.0,101111.0,56.928999999999995
5298,20.9351,,青岛市,2002,1520.0,,114606.0,133.0,,715.65,2,1101.0,101101.0,37.989
5299,142.7576,,潍坊市,2012,4010.0,3337.0,163914.0,157.0,46.0,878.9,2,11111.0,111111.0,74.329
5300,13.5637,,枣庄市,2006,759.95,1023.0,46768.0,105.0,,371.97,2,1111.0,101111.0,14.838999999999999
5301,104.2508,,潍坊市,2010,3090.0,3094.0,163988.0,140.0,,873.78,2,1111.0,101111.0,100.472
5302,,,保定市,2018,3590.0,3488.0,227006.0,215.0,215.0,1208.0,2,11111.0,111111.0,127.856
5303,29.0409,,北海市,2020,1280.0,1633.0,39012.0,86.0,61.0,,2,11111.0,11111.0,36.379000000000005
5304,12.9575,2.3041,鹤壁市,2013,622.1183,722.0,21933.0,64.0,12.0,165.9,2,11111.0,111111.0,27.932000000000006
5305,13.0772,,湖州市,2008,1030.0,1660.0,59818.0,72.0,,258.5,2,1111.0,101111.0,27.802
5306,97.2493,,亳州市,2018,1280.0,1355.0,87505.0,71.0,107.0,657.0,2,11111.0,111111.0,47.105
5307,15.3311,,枣庄市,2007,925.5606,1131.0,47061.0,104.0,,380.19,2,1111.0,101111.0,24.732999999999997
5308,7.7983,,嘉峪关市,2020,282.0,905.0,12610.0,,13.0,,2,10111.0,10111.0,31.353999999999996
5309,96.6258,,烟台市,2012,5280.0,3405.0,145831.0,273.0,42.0,650.3,2,11111.0,111111.0,118.26599999999999
5310,,,邢台市,2018,2150.0,1623.0,128242.0,106.0,187.0,797.0,2,11111.0,111111.0,68.84700000000001
5311,34.7687,,济南市,2005,1880.0,4128.0,105540.0,238.0,,597.44,2,1111.0,101111.0,60.739999999999995
5312,43.1983,5.4047,濮阳市,2014,1250.0,668.0,44030.0,54.0,43.0,424.5,2,11111.0,111111.0,35.166
5313,14.5528,,潮州市,2012,706.6543,419.0,33696.0,42.0,5.0,264.8,2,11111.0,111111.0,22.595000000000002
5314,7.31,,嘉峪关市,2019,283.0,,12756.0,,9.0,21.0,2,10101.0,110101.0,22.134999999999998
