Unnamed: 0,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_stock,pr_stock_corrected
180,3.7991,,阿拉善盟,2010,,,17098.0,,,,2,100.0,100.0,-54.69220953689922,-29.639976941443656
181,,,神农架林区,2005,,,234.0,,,,2,100.0,100.0,-67.64675844142015,-33.06257049017808
182,0.6656,,黄南藏族自治州,2007,,,1313.0,,,,2,100.0,100.0,-66.81789469213302,-5.970842584462375
183,1.3324,,甘南藏族自治州,2006,,,2677.0,,,,2,100.0,100.0,-65.77010029544383,-35.11923352575863
184,0.515,,黄南藏族自治州,2009,,,1317.0,,,,2,100.0,100.0,-66.81482198129228,-5.517016489363819
185,0.2651,,黄南藏族自治州,2006,,,1318.0,,,,2,100.0,100.0,-66.81405380358211,-5.991530335661906
186,5.3088,,阿克苏地区,2002,,,9418.0,,,,2,100.0,100.0,-60.59181435110229,-0.04987728412329773
187,,,神农架林区,2003,,,241.0,,,,2,100.0,100.0,-67.64138119744887,-32.50747284632613
188,,,神农架林区,2007,,,241.0,,,,2,100.0,100.0,-67.64138119744887,-33.9860964090375
189,,,神农架林区,2019,,,241.0,,,,2,100.0,100.0,-67.64138119744887,-34.109233028850824
190,,,海北藏族自治州,2019,,,2564.0,,,,2,100.0,100.0,-65.85690437669447,-20.01788547585077
191,,,阿勒泰地区,2007,,,8778.0,,,,2,100.0,100.0,-61.08344808561922,-4.214434653218859
192,,,神农架林区,2018,,,244.0,,,,2,100.0,100.0,-67.63907666431831,-47.0391327305054
193,2.5895,,酒泉市,2003,106.6855,302.0,12764.0,22.0,,91.84,2,1111.0,101111.0,-24.479882064117408,10.519619187057163
194,1.8093,,甘南藏族自治州,2008,,,2834.0,,,,2,100.0,100.0,-65.64949639494515,-34.51301997251208
195,1.612,,甘南藏族自治州,2007,,,2869.0,,,,2,100.0,100.0,-65.62261017508875,-34.14510437299393
196,,,海北藏族自治州,2011,,,2695.0,,,,2,100.0,100.0,-65.75627309666054,-9.987156540911784
197,,,神农架林区,2004,,,257.0,,,,2,100.0,100.0,-67.62909035408595,-33.250824437617176
198,6.6723,,甘孜藏族自治州,2013,,,11965.0,,,,2,100.0,100.0,-58.635265723266976,-15.8089770239663
199,5.8,,锡林郭勒盟,2005,,,16003.0,,,,2,100.0,100.0,-55.533364129549284,-23.32289147568065
200,,,海北藏族自治州,2010,,,2764.0,,,,2,100.0,100.0,-65.70326883465793,-4.928934430141631
201,2.38,,酒泉市,2004,122.2504,303.0,13608.0,22.0,,92.53,2,1111.0,101111.0,-24.09286525112857,7.655322882292875
202,,,克孜勒苏柯尔克孜自治州,2014,,,5775.0,,,,2,100.0,100.0,-63.390285749297846,-14.70276115600933
203,,,神农架林区,2020,,,268.0,,,,2,100.0,100.0,-67.62064039927392,-29.073715115462562
204,,,海西蒙古族藏族自治州,2016,,,25011.0,,,,2,100.0,100.0,-48.61361931622359,3.364868729876349
205,6.97,,阿拉善盟,2012,,,20028.0,,,,2,100.0,100.0,-52.441448846063935,-24.2725091036766
206,0.2666,,神农架林区,2006,,,274.0,,,,2,100.0,100.0,-67.61603133301284,-33.43056739072969
207,5.6424,,阿拉善盟,2013,,,20317.0,,,,2,100.0,100.0,-52.21944548782115,-22.953636526579004
208,,,海南藏族自治州,2010,,,3742.0,,,,2,100.0,100.0,-64.95199103409928,-4.177656629582977
209,,,黄南藏族自治州,2008,,,1560.0,,,,2,100.0,100.0,-66.6281547977179,-5.702755328751849
210,1.6596,,迪庆藏族自治州,2004,,,2008.0,,,,2,100.0,100.0,-66.28401118355605,-20.807633240085522
211,2.2543,,甘南藏族自治州,2009,,,3192.0,,,,2,100.0,100.0,-65.37448877469974,-33.43730915843497
212,,,海西蒙古族藏族自治州,2014,,,26327.0,,,,2,100.0,100.0,-47.60269744962317,5.611259960026523
213,,,神农架林区,2017,,,284.0,,,,2,100.0,100.0,-67.60834955591099,-43.073405686779864
214,,,海西蒙古族藏族自治州,2012,,,26383.0,,,,2,100.0,100.0,-47.55967949785293,9.57491558125092
215,,,巴音郭楞蒙古自治州,2010,,,41643.0,,,,2,100.0,100.0,-35.837287640465064,17.649184223960795
216,,,海西蒙古族藏族自治州,2015,,,26664.0,,,,2,100.0,100.0,-47.3438215612916,4.192717445683883
217,2.7139,,酒泉市,2005,146.0284,381.0,15012.0,29.0,,90.26,2,1111.0,101111.0,-23.21907370354441,8.223395048774346
218,1.5124,,迪庆藏族自治州,2003,,,2076.0,,,,2,100.0,100.0,-66.23177509926363,-21.116904037217587
219,8.3648,,锡林郭勒盟,2006,,,17924.0,,,,2,100.0,100.0,-54.05769474828833,-22.39484593656913
220,,,克孜勒苏柯尔克孜自治州,2015,,,6296.0,,,,2,100.0,100.0,-62.99006516229265,-14.450882081761648
221,3.5388,,阿克苏地区,2003,,,11567.0,,,,2,100.0,100.0,-58.9410004519197,-0.15618197093488817
222,,,海北藏族自治州,2012,,,3138.0,,,,2,100.0,100.0,-65.41597037104961,-8.281375291945757
223,,,海南藏族自治州,2011,,,3994.0,,46.0,,2,10100.0,10100.0,-27.094711820255643,28.67440473549311
224,,,和田地区,2010,,,22782.0,,,,2,100.0,100.0,-50.32588743222081,3.1605844322050487
225,8.4008,,阿坝藏族羌族自治州,2011,,,7708.0,,,,2,100.0,100.0,-61.90539823551471,-21.787544276549838
226,,,阿克苏地区,2004,,,11941.0,,,,2,100.0,100.0,-58.65370198831137,0.10137174092103862
227,,,大兴安岭地区,2019,,,6222.0,,,,2,100.0,100.0,-63.04691031284619,-39.22453667404583
228,,,黄南藏族自治州,2010,,,1703.0,,,,2,100.0,100.0,-66.51830538516177,-5.743970980645464
229,,,克孜勒苏柯尔克孜自治州,2012,,,6627.0,,,,2,100.0,100.0,-62.7357983402222,-13.3522937816319
230,10.4,,阿坝藏族羌族自治州,2014,,,7896.0,,,,2,100.0,100.0,-61.760980826000356,-24.74907341546679
231,,,阿勒泰地区,2008,,,11183.0,,,,2,100.0,100.0,-59.23598069262985,-2.5094492756004882
232,,,巴音郭楞蒙古自治州,2011,,,45086.0,,,,2,100.0,100.0,-33.19245178430605,18.24427491998145
233,7.5267,,阿坝藏族羌族自治州,2010,,,7984.0,,,,2,100.0,100.0,-61.69338118750428,-29.251923428240943
234,,,黄南藏族自治州,2011,,,1737.0,,,,2,100.0,100.0,-66.49218734301557,-10.72307078726682
235,,,阿拉善盟,2017,,,23382.0,,,,2,100.0,100.0,-49.864980806111184,-26.659976881589692
236,3.0567,,酒泉市,2006,173.2453,334.0,16442.0,29.0,,91.16,2,1111.0,101111.0,-22.77066720506036,7.8801995646248315
