Unnamed: 0,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_stock,pr_stock_corrected
215,,,巴音郭楞蒙古自治州,2010,,,41643.0,,,,2,100.0,100.0,29.033407659794673,10.070079195635955
216,,,海西蒙古族藏族自治州,2015,,,26664.0,,,,2,100.0,100.0,18.555863791626305,10.103140250575002
217,2.7139,,酒泉市,2005,146.0284,381.0,15012.0,29.0,,90.26,2,1111.0,101111.0,5.356932525403427,2.564624753217266
218,1.5124,,迪庆藏族自治州,2003,,,2076.0,,,,2,100.0,100.0,1.3569954672706208,0.9074824389374188
219,8.3648,,锡林郭勒盟,2006,,,17924.0,,,,2,100.0,100.0,12.44238936691227,6.8746448446110655
220,,,克孜勒苏柯尔克孜自治州,2015,,,6296.0,,,,2,100.0,100.0,4.308810349684031,2.0224821576899497
221,3.5388,,阿克苏地区,2003,,,11567.0,,,,2,100.0,100.0,7.995781023902301,2.1561917368576715
222,,,海北藏族自治州,2012,,,3138.0,,,,2,100.0,100.0,2.0998455632713418,1.3674453707172807
223,,,海南藏族自治州,2011,,,3994.0,,46.0,,2,10100.0,10100.0,26.614326854847512,13.803533809087911
224,,,和田地区,2010,,,22782.0,,,,2,100.0,100.0,15.84047389268581,5.4941820286788206
225,8.4008,,阿坝藏族羌族自治州,2011,,,7708.0,,,,2,100.0,100.0,5.2964792155531635,4.936066834934364
226,,,阿克苏地区,2004,,,11941.0,,,,2,100.0,100.0,8.257387366561689,2.330996541204906
227,,,大兴安岭地区,2019,,,6222.0,,,,2,100.0,100.0,4.257048666911854,3.1873683085239275
228,,,黄南藏族自治州,2010,,,1703.0,,,,2,100.0,100.0,1.096088606810857,0.7721803448178655
229,,,克孜勒苏柯尔克孜自治州,2012,,,6627.0,,,,2,100.0,100.0,4.540338957759587,1.8106953614543473
230,10.4,,阿坝藏族羌族自治州,2014,,,7896.0,,,,2,100.0,100.0,5.427981869082483,4.844493675220117
231,,,阿勒泰地区,2008,,,11183.0,,,,2,100.0,100.0,7.727179859246673,2.5541744220053606
232,,,巴音郭楞蒙古自治州,2011,,,45086.0,,,,2,100.0,100.0,31.44172487310021,11.81247432682047
233,7.5267,,阿坝藏族羌族自治州,2010,,,7984.0,,,,2,100.0,100.0,5.489536302649398,5.104177792705897
234,,,黄南藏族自治州,2011,,,1737.0,,,,2,100.0,100.0,1.1198710015980742,0.5808216498085361
235,,,阿拉善盟,2017,,,23382.0,,,,2,100.0,100.0,16.26016321246023,10.087517968470385
236,3.0567,,酒泉市,2006,173.2453,334.0,16442.0,29.0,,91.16,2,1111.0,101111.0,5.7217317133865855,2.456179623965814
237,,,阿拉善盟,2018,,,23524.0,,,,2,100.0,100.0,16.359489684806846,10.486494222596791
238,,,克孜勒苏柯尔克孜自治州,2013,,,6889.0,,,,2,100.0,100.0,4.723603294061084,2.014163165941473
239,,,克孜勒苏柯尔克孜自治州,2016,,,6896.0,,,,2,100.0,100.0,4.728499669458452,2.5571449537257434
240,3.5683,,酒泉市,2007,203.25,340.0,16684.0,29.0,,93.57,2,1111.0,101111.0,6.2568169559072455,3.4451811890811883
