Unnamed: 0,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_register,pr_register_corrected
2888,3.7307,,葫芦岛市,2003,240.0291,307.0,24106.0,60.0,,271.43,2,1111.0,101111.0,0.9709814608483928,0.5973203763746018
2889,35.2661,,柳州市,2013,2010.0,1807.0,42369.0,178.0,25.0,372.4,2,11111.0,111111.0,1.7276035904269833,4.45255122387297
2890,6.0494,,葫芦岛市,2006,348.1105,441.0,24120.0,64.0,,275.67,2,1111.0,101111.0,1.1818604728149107,0.7461817944804622
2891,10.26,,临夏回族自治州,2012,,,18536.0,,,,2,100.0,100.0,-0.3047096498861832,3.1158433124971925
2892,3.4381,,云浮市,2006,244.1995,62.0,17764.0,18.0,,266.82,2,1111.0,101111.0,0.9637026147208836,0.8621412427223388
2893,,,哈尔滨市,2014,5340.0,4872.0,121037.0,401.0,116.0,987.3,2,11111.0,111111.0,13.935678388614733,16.32942822704134
2894,18.027,,四平市,2011,984.5977,521.0,23394.0,51.0,13.0,341.1,2,11111.0,111111.0,-0.08777362513286846,2.7468579362664585
2895,24.04,,朝阳市,2009,518.0944,364.0,45139.0,50.0,,342.6,2,1111.0,101111.0,2.2188944003061426,2.1523541514755484
2896,6.403,,萍乡市,2010,520.39,593.0,8760.0,42.0,,188.09,2,1111.0,101111.0,1.047583358841338,1.2403170873691218
2897,23.6883,,梧州市,2018,1030.0,712.0,28782.0,61.0,88.0,352.0,2,11111.0,111111.0,2.3958372546760724,4.113016511807592
2898,3.3159,,云浮市,2004,257.5959,58.0,17876.0,18.0,,261.96,2,1111.0,101111.0,0.9889906751157512,0.90670617964968
2899,34.3169,,六安市,2014,1100.0,1255.0,35413.0,72.0,35.0,720.5,2,11111.0,111111.0,3.5405842260098654,6.438004871402621
2900,41.41,,娄底市,2010,678.7067,516.0,18635.0,41.0,,432.99,2,1111.0,101111.0,2.1380428623681884,2.366345690167051
2901,83.77,,玉溪市,2015,1240.0,667.0,34322.0,30.0,28.0,216.01,2,11111.0,111111.0,0.11252480425327782,3.995169866884576
2902,,,天门市,2016,,,6032.0,,,,2,100.0,100.0,-1.453780994252322,2.3920921656343523
2903,48.7,,孝感市,2009,672.88,540.0,20512.0,33.0,,528.73,2,1111.0,101111.0,2.3563915543632787,3.0601118934082248
2904,5.3763,,遂宁市,2009,412.0706,597.0,12286.0,49.0,,387.05,2,1111.0,101111.0,1.2531733229223083,2.749693545047073
2905,4.2694,,肇庆市,2002,450.2169,,34348.0,41.0,,390.75,2,1101.0,101101.0,2.3872554296717814,1.377783574025777
2906,,,双鸭山市,2013,555.1063,378.0,52932.0,58.0,4.0,149.8,2,11111.0,111111.0,-1.2108209880283871,0.3743506557221099
2907,3.2386,,遂宁市,2006,240.9397,496.0,12317.0,49.0,,377.39,2,1111.0,101111.0,0.871040506456602,0.9163978224655392
2908,8.4252,,本溪市,2008,610.8589,548.0,19428.0,107.0,,155.66,2,1111.0,101111.0,1.3592520919911806,0.6354834177816752
2909,4.5047,,孝感市,2006,404.1503,516.0,20593.0,32.0,,514.65,2,1111.0,101111.0,1.717914049624941,1.8344422475111928
2910,4.0834,,铜川市,2009,155.86,409.0,9018.0,40.0,,85.31,2,1111.0,101111.0,0.07039994976410108,0.09251598653233827
2911,13.0893,,宝鸡市,2010,976.09,2241.0,41923.0,118.0,,381.09,2,1111.0,101111.0,2.5964634304608527,3.5943775181259623
2912,28.1735,,丽水市,2015,1100.0,441.0,39970.0,35.0,51.0,266.38,2,11111.0,111111.0,1.2340576562332863,5.534949215926078
2913,1.5007,,鹰潭市,2007,220.2019,152.0,8185.0,24.0,,114.9,2,1111.0,101111.0,0.36114890908905695,0.1923392237867885
2914,22.3,,乐山市,2014,1210.0,853.0,29522.0,73.0,30.0,355.7,2,11111.0,111111.0,0.855167449487003,4.45654440826505
2915,18.5481,,阜新市,2013,615.124,503.0,23937.0,77.0,13.0,191.1,2,11111.0,111111.0,-1.5797625630574659,1.4267581714551316
2916,25.3817,,阜新市,2017,409.1,910.0,23941.0,77.0,54.0,186.0,2,11111.0,111111.0,-0.7271099763208122,1.0510774227353488
2917,34.465,,吉林市,2012,2430.0,1318.0,64301.0,166.0,27.0,430.8,2,11111.0,111111.0,3.5286271150235557,6.25765182610634
2918,28.0725,,丹东市,2017,787.0,987.0,34331.0,85.0,67.0,235.0,2,11111.0,111111.0,0.7369270121702147,2.5151144112263757
2919,52.6021,,株洲市,2011,1560.0,1714.0,26211.0,107.0,22.0,391.4,2,11111.0,111111.0,0.8752658526666135,2.851217603516816
2920,11.1709,,南阳市,2005,1050.0,853.0,61682.0,77.0,,1079.14,2,1111.0,101111.0,5.064972811507699,3.9425654585181973
2921,,,中卫市,2020,440.0,585.0,31677.0,30.0,14.0,,2,11111.0,11111.0,7.708678124861144,2.154954583891873
2922,2.6891,,天门市,2011,,,6095.0,,,,2,100.0,100.0,-1.4479915273061392,0.2520816780460846
2923,20.8003,,忻州市,2011,554.5452,242.0,58653.0,30.0,13.0,310.1,2,11111.0,111111.0,0.4525694709331187,4.1294602187877505
2924,,,黔西南布依族苗族自治州,2017,,,39179.0,,,,2,100.0,100.0,1.5923056861463023,2.151582179992034
2925,17.6857,,安庆市,2011,1220.0,974.0,31500.0,80.0,19.0,618.7,2,11111.0,111111.0,2.414034027537353,4.731256062700718
2926,15.3291,,韶关市,2013,1010.0,728.0,42963.0,92.0,9.0,328.0,2,11111.0,111111.0,0.2432352849140553,3.509046101809508
2927,94.4675,,赣州市,2018,2810.0,3115.0,91879.0,180.0,146.0,981.0,2,11111.0,111111.0,11.798147576618536,13.670947088853687
2928,13.7047,,玉林市,2010,840.2489,783.0,29996.0,57.0,,674.59,2,1111.0,101111.0,3.131086181022212,3.4503808599089987
2929,,,张家口市,2018,1540.0,1993.0,85964.0,101.0,112.0,465.0,2,11111.0,111111.0,5.932697544619987,6.732594559106481
2930,14.5042,,四平市,2010,779.5527,354.0,23937.0,51.0,,340.55,2,1111.0,101111.0,2.3475137567992603,2.7851149783356726
2931,70.1759,,郴州市,2017,2180.0,1049.0,45215.0,78.0,94.0,534.0,2,11111.0,111111.0,5.571316761273781,7.744348549147013
2932,12.2874,,宣城市,2010,525.7,540.0,28842.0,43.0,,278.36,2,1111.0,101111.0,1.7004481797629758,2.1514843587567944
2933,23.3793,,龙岩市,2012,1370.0,437.0,44527.0,42.0,14.0,297.7,2,11111.0,111111.0,0.7881942960440131,1.3470526780554972
2934,64.5397,,玉溪市,2011,876.5508,493.0,34990.0,26.0,8.0,231.8,2,11111.0,111111.0,-0.7111837071631291,2.316734153609419
2935,,,鄂尔多斯市,2019,3610.0,2945.0,203618.0,118.0,75.0,164.0,2,11111.0,111111.0,8.551792796116388,9.183948942550339
